issue,language,set,abbreviation,detail,sources
no card list,ko,트리플렛비트,SV1a,2023-03-10,tcgdex
no card list,ko,클레이버스트,SV2D,2023-04-14,tcgdex
no card list,ko,스노해저드,SV2P,2023-04-14,tcgdex
no card list,ko,포켓몬 카드 151,SV2a,2023-06-16,tcgdex
no card list,ko,흑염의 지배자,SV3,2023-07-28,tcgdex
no card list,ko,레이징서프,SV3a,2023-09-22,tcgdex
no card list,ko,샤이니트레저 ex,SV4a,2023-12-01,tcgdex
no card list,ko,사이버저지,SV5M,2024-01-26,tcgdex
no card list,ko,트리플렛비트,CS1.5,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS1a,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS1b,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS2.5,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS2a,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS2b,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS3.5,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS3D,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS3a,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS3b,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS4,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS4Da,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS4a,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CS4b,2024-04-26,tcgdex
no card list,ko,트리플렛비트,CSA,2024-04-26,tcgdex
no card list,ko,크림슨헤이즈,SV5a,2024-05-24,tcgdex
no card list,ko,변환의 가면,SV6,2024-06-21,tcgdex
no card list,nl,Basis Set,BS,1999-01-09,tcgdex
no card list,nl,Jungle,JU,1999-06-16,tcgdex
no card list,nl,Fossiel,FO,1999-10-10,tcgdex
no card list,pl,Diament i Perla,DP,2007-05-01,tcgdex
no card list,pl,Tajemne Skarby,MT,2007-08-01,tcgdex
no card list,pt,Coleção Básica,BS,1999-01-09,tcgdex
no card list,pt,Selva,JU,1999-06-16,tcgdex
no card list,pt,Fóssil,FO,1999-10-10,tcgdex
no card list,pt,EX Rubi e Safira,RS,2003-07-01,tcgdex
no card list,pt,EX O Retorno da Equipe Rocket,TR,2004-11-01,tcgdex
no card list,pt,EX Deoxys,DX,2005-02-01,tcgdex
no card list,pt,EX Esmeralda,EM,2005-05-09,tcgdex
no card list,pt,EX Forças Ocultas,UF,2005-08-22,tcgdex
no card list,pt,Diamante & Pérola,DP,2007-05-01,tcgdex
no card list,pt,Tesouros Misteriosos,MT,2007-08-01,tcgdex
no card list,pt,Maravilhas Secretas,SW,2007-11-01,tcgdex
no card list,pt,HeartGold SoulSilver,HS,2010-02-10,tcgdex
no card list,pt,Revelado,UL,2010-05-12,tcgdex
no card list,pt,Destemido,UND,2010-08-18,tcgdex
no card list,pt,Triunfante,TRI,2010-11-03,tcgdex
no card list,pt,Chamado das Lendas,COL,2011-02-09,tcgdex
no card list,pt,Cofre do Dragão,DRV,2012-10-05,tcgdex
no card list,pt,Tesouros Lendários,LTR,2013-11-06,tcgdex
no card list,pt,Gerações,GEN,2016-02-22,tcgdex
no card list,pt,Destinos Ocultos,HIF,2019-08-23,tcgdex
no card list,pt,Destinos Ocultos Cofre Brilhante,sma,2019-08-23,tcgdex
no card list,pt,Celebrações Coleção Clássica,CEL:CC,2021-10-08,tcgdex
no card list,pt,Dominação Genética,A1,2024-10-30,tcgdex
no card list,pt,Promo-A,P-A,2024-10-30,tcgdex
no card list,pt,Ilha Mítica,A1a,2024-12-17,tcgdex
no card list,pt,Embate do Tempo e Espaço,A2,2025-01-30,tcgdex
no card list,pt,Luz Triunfante,A2a,2025-02-28,tcgdex
no card list,pt,Festival Brilhante,A2b,2025-03-27,tcgdex
no card list,pt,Guardiões Celestiais,A3,2025-04-30,tcgdex
no card list,pt,Nascentes Reclusas,A4a,2025-08-28,tcgdex
no card list,pt,Chama Carmesim,B1a,2025-12-17,tcgdex
no card list,pt,Desfile Onírico,B2,2026-01-29,tcgdex
no card list,pt,Paldean Wonders,B2a,2026-02-26,tcgdex
no card list,pt-br,Nascentes Reclusas,A4a,2025-08-28,tcgdex
no card list,pt-br,Chama Carmesim,B1a,2025-12-17,tcgdex
no card list,pt-br,Desfile Onírico,B2,2026-01-29,tcgdex
no card list,ru,Стартовый Набор Калоса,KSS,2013-11-08,tcgdex
no card list,ru,XY,XY,2014-02-05,tcgdex
no card list,ru,Огненная Вспышка,FLF,2014-05-07,tcgdex
no card list,ru,Яростный Кулак,FFI,2014-08-13,tcgdex
no card list,ru,Призрачные Силы,PHF,2014-11-05,tcgdex
no card list,ru,Первобытная Дуэль,PRC,2015-02-04,tcgdex
no card list,ru,Грохочущие Небеса,ROS,2015-05-06,tcgdex
no card list,ru,Древние Истоки,AOR,2015-08-12,tcgdex
no card list,ru,Турбо Импульс,BKT,2015-11-04,tcgdex
no card list,th,ซอร์ด แอนด์ ชีลด์,SC1D,2020-09-08,tcgdex
no card list,th,ซอร์ด แอนด์ ชีลด์ ชุด A,SC1a,2020-09-08,tcgdex
no card list,th,ซอร์ด แอนด์ ชีลด์ ชุด B,SC1b,2020-09-08,tcgdex
no card list,th,ชนี VMAX คอลเลกชัน ชุด A,SC3a,2021-01-29,tcgdex
no card list,th,ชนี VMAX คอลเลกชัน ชุด B,SC3b,2021-01-29,tcgdex
no card list,th,V Starter Deck บัดดี้,SCA,2021-01-29,tcgdex
no card list,th,ชาเลนจ์,SCB,2021-03-26,tcgdex
no card list,th,หอกหิมะขาว,S6H,2021-05-28,tcgdex
no card list,th,ภูตทมิฬ,S6K,2021-05-28,tcgdex
no card list,th,อีวุยฮีโร,S6a,2021-06-25,tcgdex
no card list,th,อีโวลู,SCC,2021-07-30,tcgdex
no card list,th,เพอร์เฟคระฟ้า,S7D,2021-08-27,tcgdex
no card list,th,สายน้ำแห่งนภา,S7R,2021-08-27,tcgdex
no card list,th,คอลเลกชันฉลองครบรอบ 25 ปี,S8a,2021-10-29,tcgdex
no card list,th,ฟิวชันอาร์ต,S8,2021-11-26,tcgdex
no card list,th,โปเกมอนเทรดดิ้งการ์ดเกม ชุดแฟมิลีแฮปปี้,SH,2021-11-26,tcgdex
no card list,th,VMAX ไคลแมกซ์,S8b,2021-12-17,tcgdex
no card list,th,Starter Deck เกรทพาวเวอร์,SCD,2022-01-28,tcgdex
no card list,th,เกรทพาวเวอร์,SCE,2022-01-28,tcgdex
no card list,th,สตาร์เบิร์ท,S9,2022-02-25,tcgdex
no card list,th,พสุธามหายุทธ,S9a,2022-04-29,tcgdex
no card list,th,การ์ดโปรโม ซอร์ด แอนด์ ชีลด์,S-P,2022-05-11,tcgdex
no card list,th,เจ้าแห่งกาลเวลา,S10D,2022-05-27,tcgdex
no card list,th,จอมมายาผ่ามิติ,S10P,2022-05-27,tcgdex
no card list,th,Pokémon GO,S10b,2022-06-24,tcgdex
no card list,th,ทริปเปิลบีต,S11,2022-08-26,tcgdex
no card list,th,อาร์คานาแห่งประกายแสง,S11a,2022-09-30,tcgdex
no card list,th,เปลี่ยนผ่าน,SCF,2022-11-11,tcgdex
no card list,th,ทริปเปิลบีต,CS1.5,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS1a,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS1b,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS2.5,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS2a,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS2b,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS3.5,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS3D,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS3a,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS3b,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS4,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS4Da,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS4a,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CS4b,2024-04-26,tcgdex
no card list,th,ทริปเปิลบีต,CSA,2024-04-26,tcgdex
no card list,zh-cn,风暴涌现,csm1a,2022-10-22,tcgdex
no card list,zh-cn,风暴涌现,csm1b,2022-10-22,tcgdex
no card list,zh-cn,风暴涌现,csm1c,2022-10-22,tcgdex
no card list,zh-cn,战斗精英,csm1.5,2022-12-16,tcgdex
no card list,zh-cn,闪耀协同效应,csm2a,2023-01-18,tcgdex
no card list,zh-cn,闪耀协同效应,csm2b,2023-01-18,tcgdex
no card list,zh-cn,闪耀协同效应,csm2c,2023-01-18,tcgdex
no card list,zh-cn,精彩的比赛,csm2.5,2023-03-13,tcgdex
no card list,zh-cn,Gym Event Promo Pack Vol. 1,,2023-05-19,database.xlsx
no card list,zh-cn,Gym Event Promo Pack Vol. 2,,2023-08-18,database.xlsx
no card list,zh-cn,Gym Event Promo Pack Vol. 3,,2023-11-17,database.xlsx
no card list,zh-cn,Gym Event Promo Pack Vol. 4,,2024-03-01,database.xlsx
no card list,zh-cn,Gym Event Promo Pack Vol. 5,,2024-06-18,database.xlsx
no card list,zh-cn,Gym Event Promo Pack Vol. 6,,2024-09-20,database.xlsx
no card list,zh-cn,Scarlet & Violet Energies,,2025-05-16,database.xlsx
no card list,zh-cn,30th Anniversay Celebration,30thP,2026-03-20,database.xlsx
no card list,zh-cn,30th Celebration,30thC,2026-09-16,database.xlsx
no card list,zh-cn,Mega Evolution Promos,MP,,database.xlsx
no card list,zh-tw,三連音爆,CS1.5,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS1a,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS1b,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS2.5,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS2a,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS2b,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS3.5,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS3D,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS3a,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS3b,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS4,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS4Da,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS4a,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CS4b,2024-04-26,tcgdex
no card list,zh-tw,三連音爆,CSA,2024-04-26,tcgdex
release date conflict,en,Wizards of the Coast Promos,WP,database.xlsx=1999-07-01  tcgdex=1999-09-01,
release date conflict,en,EX Ruby & Sapphire,RS,database.xlsx=2003-06-18  tcgdex=2003-07-01,
release date conflict,en,Nintendo Promos,NP,database.xlsx=2003-09-01  tcgdex=2003-10-01,
release date conflict,en,EX Sandstorm,SS,database.xlsx=2003-09-17  tcgdex=2003-09-18,
release date conflict,en,EX Team Magma vs Team Aqua,MA,database.xlsx=2004-03-15  tcgdex=2004-03-01,
release date conflict,en,EX FireRed & LeafGreen,RG,database.xlsx=2004-08-30  tcgdex=2004-09-01,
release date conflict,en,EX Deoxys,DX,database.xlsx=2005-02-14  tcgdex=2005-02-01,
release date conflict,en,EX Power Keepers,PK,database.xlsx=2007-02-14  tcgdex=2007-02-17,
release date conflict,en,Diamond & Pearl,DP,database.xlsx=2007-05-23  tcgdex=2007-05-01,
release date conflict,en,Mysterious Treasures,MT,database.xlsx=2007-08-22  tcgdex=2007-08-01,
release date conflict,en,Secret Wonders,SW,database.xlsx=2007-11-07  tcgdex=2007-11-01,
release date conflict,en,Great Encounters,GE,database.xlsx=2008-02-13  tcgdex=2008-02-01,
release date conflict,en,Majestic Dawn,MD,database.xlsx=2008-05-21  tcgdex=2008-05-01,
release date conflict,en,Legends Awakened,LA,database.xlsx=2008-08-20  tcgdex=2008-08-01,
release date conflict,en,Stormfront,SF,database.xlsx=2008-11-05  tcgdex=2008-11-01,
release date conflict,en,Rising Rivals,RR,database.xlsx=2009-05-20  tcgdex=2009-05-16,
release date conflict,en,Triumphant,TM,database.xlsx=2010-11-02  tcgdex=2010-11-03,
release date conflict,en,Black & White Promos,BWP,database.xlsx=2011-03-01  tcgdex=2011-04-26,
release date conflict,en,XY Promos,XYP,database.xlsx=2013-09-30  tcgdex=2013-10-12,
release date conflict,en,Sun & Moon Promos,SMP,database.xlsx=2016-10-31  tcgdex=2017-02-03,
release date conflict,en,Team Up,TEU,database.xlsx=2019-02-01  tcgdex=2019-01-31,
release date conflict,en,Scarlet & Violet Promos,SVP,database.xlsx=2023-01-01  tcgdex=2023-03-31,
release date conflict,en,Black Bolt,BLK,database.xlsx=2025-07-18  tcgdex=2025-07-17,
release date conflict,en,White Flare,WHT,database.xlsx=2025-07-18  tcgdex=2025-07-17,
release date conflict,en,Mega Evolution Promos,MEP,database.xlsx=2025-09-13  tcgdex=2025-09-26,
release date conflict,en,Mega Evolution Energies,MEE,database.xlsx=2025-09-26  tcgdex=2025-09-25,
release date conflict,ja,Rising Fist,XY3,database.xlsx=2014-06-14  tcgdex=2014-09-13,
release date conflict,ja,Champion Road,SM6b,database.xlsx=2018-05-03  tcgdex=2018-05-30,
release date conflict,ja,Thunderclap Spark,SM7a,database.xlsx=2018-07-06  tcgdex=2018-08-03,
release date conflict,ja,GX Ultra Shiny,SM8b,database.xlsx=2018-11-02  tcgdex=2018-10-05,
release date conflict,zh-cn,Storming Emergence (Radiant),CSM1aC,database.xlsx=2022-10-28  pikaqian_cards.xlsx=2022-10-28  tcgdex=2020-10-28,
release date conflict,zh-cn,Storming Emergence (Verdant),CSM1bC,database.xlsx=2022-10-28  pikaqian_cards.xlsx=2022-10-28  tcgdex=2020-10-28,
release date conflict,zh-cn,Storming Emergence (Abundant),CSM1cC,database.xlsx=2022-10-28  pikaqian_cards.xlsx=2022-10-28  tcgdex=2020-10-28,
release date conflict,zh-cn,Battle Party Set (Grass Modification Pack),CSMPjC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Fire Modification Pack),CSMPkC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Water Modification Pack),CSMPlC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Lightning Modification Pack),CSMPmC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Psychic Modification Pack),CSMPnC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Fighting Modification Pack),CSMPoC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Darkness Modification Pack),CSMPpC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Battle Party Set (Metal Modification Pack),CSMPqC,database.xlsx=2023-04-15  pikaqian_cards.xlsx=2023-12-16,
release date conflict,zh-cn,Collect 151,151C,database.xlsx=2025-01-17  pikaqian_cards.xlsx=2025-10-17,
release date conflict,zh-cn,Blade Awakening,CSV7C,database.xlsx=2026-01-16  pikaqian_cards.xlsx=2026-01-17  tcgdex=2026-01-16,
release date conflict,zh-cn,Gem Pack Vol. 4,CBB4C,database.xlsx=2026-02-06  pikaqian_cards.xlsx=2026-02-26  tcgdex=2026-02-26,
