Language,Set Name,Set Name (EN),Set Code,Year,Release Date,Series,Cards In Set,Cards Listed,Sources
German,Geheimnisvolle Schätze,,MT,2007,2007-08-01,Diamant & Perl,123,124,tcgdex
German,Rätselhafte Wunder,,SW,2007,2007-11-01,Diamant & Perl,132,132,tcgdex
German,Epische Begegnungen,,GE,2008,2008-02-01,Diamant & Perl,106,106,tcgdex
German,Majestätischer Morgen,,MD,2008,2008-05-01,Diamant & Perl,100,100,tcgdex
German,Erwachte Legenden,,LA,2008,2008-08-01,Diamant & Perl,146,146,tcgdex
German,Sturmtief,,SF,2008,2008-11-01,Diamant & Perl,100,106,tcgdex
German,Platin,,PL,2009,2009-02-11,Platin,127,133,tcgdex
German,Aufstieg der Rivalen,,RR,2009,2009-05-16,Platin,111,120,tcgdex
German,Ultimative Sieger,,SV,2009,2009-08-19,Platin,147,153,tcgdex
German,Arceus,,AR,2009,2009-11-04,Platin,99,111,tcgdex
German,HeartGold SoulSilver,,HS,2010,2010-02-10,HeartGold SoulSilver,123,124,tcgdex
German,Promo HGSS,,hgssp,2010,2010-02-11,HeartGold SoulSilver,25,0,tcgdex
German,Entfesselt,,UL,2010,2010-05-12,HeartGold SoulSilver,95,96,tcgdex
German,Unerschrocken,,UND,2010,2010-08-18,HeartGold SoulSilver,90,91,tcgdex
German,Triumph,,TRI,2010,2010-11-03,HeartGold SoulSilver,102,103,tcgdex
German,Ruf der Legenden,,COL,2011,2011-02-09,Ruf der Legenden,95,106,tcgdex
German,Schwarz & Weiß,,BLW,2011,2011-04-25,Schwarz & Weiß,114,115,tcgdex
German,SW Promokarten,,BWP,2011,2011-04-26,Schwarz & Weiß,101,0,tcgdex
German,Aufstreben der Mächtigen,,EP,2011,2011-08-31,Schwarz & Weiß,98,98,tcgdex
German,Königliche Siege,,NVI,2011,2011-11-16,Schwarz & Weiß,101,102,tcgdex
German,Kommende Schicksale,,NXD,2012,2012-02-08,Schwarz & Weiß,99,103,tcgdex
German,Erfoscher der Finsternis,,DEX,2012,2012-05-09,Schwarz & Weiß,108,111,tcgdex
German,Hoheit der Drachen,,DRX,2012,2012-08-15,Schwarz & Weiß,124,128,tcgdex
German,Drachengruft,,DRV,2012,2012-10-05,Schwarz & Weiß,20,0,tcgdex
German,Überschrittene Schwellen,,BCR,2012,2012-11-07,Schwarz & Weiß,149,153,tcgdex
