Language,Set Name,Set Name (EN),Set Code,Year,Release Date,Series,Cards In Set,Cards Listed,Sources
German,Grundset,,BS,1999,1999-01-09,Grund,102,102,tcgdex
German,Dschungel,,JU,1999,1999-06-16,Grund,64,64,tcgdex
German,Wizards Black Star Promos,,basep,1999,1999-07-01,Grund,53,0,tcgdex
German,Fossil,,FO,1999,1999-10-10,Grund,62,62,tcgdex
German,Team Rocket,,RO,2000,2000-04-24,Grund,82,83,tcgdex
German,Neo Genesis,,N1,2000,2000-12-16,Neo,111,111,tcgdex
German,Neo Entdeckung,,N2,2001,2001-06-01,Neo,75,75,tcgdex
German,Neo Revelation,,N3,2001,2001-09-21,Neo,64,66,tcgdex
German,Neo Destiny,,N4,2002,2002-02-28,Neo,105,113,tcgdex
German,Expedition,,EX,2002,2002-09-15,e-Card,165,165,tcgdex
German,Aquapolis,,AQ,2003,2003-01-15,e-Card,147,182,tcgdex
German,Skyridge,,SK,2003,2003-05-12,e-Card,144,182,tcgdex
German,EX Rubin & Saphir,,RS,2003,2003-07-01,EX,109,109,tcgdex
German,EX Sandsturm,,SS,2003,2003-09-18,EX,100,100,tcgdex
German,EX Drache,,DR,2003,2003-11-24,EX,97,100,tcgdex
German,EX Team Magma vs Team Aqua,,MA,2004,2004-03-01,EX,95,97,tcgdex
German,EX Feuerrot & Blattgrün,,RG,2004,2004-09-01,EX,112,116,tcgdex
German,EX Deoxys,,DX,2005,2005-02-01,EX,107,108,tcgdex
German,EX Smaragd,,EM,2005,2005-05-09,EX,106,107,tcgdex
German,EX Verborgene Mächte,,UF,2005,2005-08-22,EX,115,117,tcgdex
German,EX Verborgene Mächte Icognito,,exu,2005,2005-08-22,EX,28,0,tcgdex
German,EX Delta Species,,DS,2005,2005-10-31,EX,113,114,tcgdex
German,EX Legend Maker,,LM,2006,2006-02-13,EX,92,93,tcgdex
German,EX Holon Phantoms,,HP,2006,2006-05-03,EX,110,111,tcgdex
German,EX Crystal Guardians,,CG,2006,2006-08-30,EX,100,100,tcgdex
German,EX Dragon Frontiers,,DF,2006,2006-11-08,EX,101,101,tcgdex
German,EX Power Keepers,,PK,2007,2007-02-17,EX,108,108,tcgdex
German,Diamant & Perl,,DP,2007,2007-05-01,Diamant & Perl,130,130,tcgdex
German,Promo DP,,dpp,2007,2007-05-01,Diamant & Perl,56,56,tcgdex
